Trace
Swept SA
A.14.10,N9010A
1790821,-95.3345264705726
1800820,-95.6032918102684
1810819,-95.9160433814838
1820818,-95.3463854684854
1830817,-95.2308726807275
1840816,-94.9330845936313
1850815,-94.8401586665969
1860814,-94.9625694635886
1870813,-94.787560307988
1880812,-95.2731671234189
1890811,-95.4670471796762
1900810,-95.3396149466268
1910809,-95.6584754760647
1920808,-95.048063893925
1930807,-95.5699007611468
1940806,-95.4224438612861
1950805,-95.0597108152083
1960804,-95.2371832493388
1970803,-95.4543682451474
1980802,-95.8267197223914
1990801,-95.1084776075469
2000800,-95.0820438709567
2010799,-96.8670941845032
2020798,-95.7719119019966
2030797,-95.6061894365879
2040796,-95.7894926001566
2050795,-95.7667157816886
2060794,-95.2301383182052
2070793,-95.3171088596286
2080792,-96.6498811350639
2090791,-97.304005267042
2100790,-95.8064869159163
2110789,-96.3977574243578
2120788,-96.5407073006173
2130787,-96.4568749287977
2140786,-96.9153566559739
2150785,-96.6551857819487
2160784,-95.9762031314264
2170783,-96.3972991559921
2180782,-95.9122426393624
2190781,-95.6792699632118
2200780,-96.533314485064
2210779,-96.353250461225
2220778,-96.9091462340045
2230777,-96.7895269706917
2240776,-96.2564621636803
2250775,-95.9146902817141
2260774,-96.5141278235057
2270773,-95.865057679234
2280772,-96.660677294107
2290771,-96.3458352821996
2300770,-96.5331265134994
2310769,-96.1611464575882
2320768,-96.8818186509035
2330767,-96.2634578079519
2340766,-96.8202917970793
2350765,-95.5420525804423
2360764,-96.4295154628607
2370763,-97.3199406143874
2380762,-96.8900636937194
2390761,-95.7279461010221
2400760,-96.4386857253218
2410759,-95.6900408165134
2420758,-96.4294926117688
2430757,-95.7467864079513
2440756,-96.3164982234231
2450755,-97.225948815346
2460754,-96.7722881605023
2470753,-95.7247024130163
2480752,-96.4910206212911
2490751,-96.0111495047416
2500750,-96.8790304177839
2510749,-96.4038976613253
2520748,-96.1328667844716
2530747,-96.1191671015022
2540746,-96.0123806039508
2550745,-96.4156020550015
2560744,-95.7049850561951
2570743,-96.0207627386553
2580742,-96.4494882632132
2590741,-97.0568430224961
2600740,-96.5543343819995
2610739,-96.6304670353543
2620738,-96.4854885322013
2630737,-97.0247459566814
2640736,-97.4138864635589
2650735,-96.6318640433018
2660734,-97.2069069070947
2670733,-96.1985530752056
2680732,-96.0227920163924
2690731,-96.8905849089046
2700730,-96.511297334556
2710729,-96.8120608939939
2720728,-97.2632139058753
2730727,-96.6503151052263
2740726,-96.5848425867471
2750725,-97.6013019981989
2760724,-96.7605769923382
2770723,-96.2494440601901
2780722,-95.7571134721876
2790721,-96.4457629319873
2800720,-96.9323806488884
2810719,-97.3886508441601
2820718,-96.6815002351463
2830717,-97.2212431368615
2840716,-97.38249768988
2850715,-97.6357822905612
2860714,-97.1788757338156
2870713,-96.4347162156681
2880712,-96.1468297110111
2890711,-96.7035672549777
2900710,-96.4556986902148
2910709,-96.5951753706981
2920708,-96.0886177571648
2930707,-96.5936019226432
2940706,-96.9034268033575
2950705,-96.9578135097613
2960704,-96.678994381308
2970703,-95.9003218008796
2980702,-97.0383158246887
2990701,-97.2486904509718
3000700,-96.0631212844166
3010699,-96.1166989276703
3020698,-95.8159755579229
3030697,-96.5691589199752
3040696,-96.5272374350842
3050695,-96.8553513684366
3060694,-97.2172800728669
3070693,-97.457978179679
3080692,-97.3257705958548
3090691,-97.1173248232201
3100690,-96.6496514694761
3110689,-97.0927712272295
3120688,-96.304438813818
3130687,-97.0151238553819
3140686,-96.2064731163309
3150685,-96.6625100978105
3160684,-96.701929010411
3170683,-97.1989713677715
3180682,-97.4604045790312
3190681,-98.1151821673489
3200680,-97.0408768400488
3210679,-97.7408330313028
3220678,-96.5938601568285
3230677,-97.4521915498436
3240676,-97.5939522674224
3250675,-96.8077580780549
3260674,-97.3341350085867
3270673,-97.0213649599526
3280672,-96.7597759903075
3290671,-97.6555619012843
3300670,-98.1542006321045
3310669,-96.9504596645302
3320668,-97.0835667051658
3330667,-96.1020130654787
3340666,-96.842040739401
3350665,-97.665488932516
3360664,-96.9468767693718
3370663,-96.7010589745943
3380662,-96.1870630332651
